site,date,eto,vpd_medio,t_media,rh_media
rio_claro,2022-12-31,1.5,4.425,17.265,77.463
la_esperanza,2023-01-01,5.9,16.575,25.513,49.228
rio_claro,2023-01-01,0,13.812,23.59,52.851
la_esperanza,2023-01-02,5.9,22.125,27.245,38.918
rio_claro,2023-01-02,5.7,19.875,25.485,38.955
la_esperanza,2023-01-03,5.7,26.425,27.893,29.898
rio_claro,2023-01-03,5.8,19.05,25.075,40.158
la_esperanza,2023-01-04,5.9,23.625,28.475,39.055
rio_claro,2023-01-04,6.1,33.362,30.6,23.887
la_esperanza,2023-01-05,4.8,13.6,24.142,54.722
rio_claro,2023-01-05,5.5,15.188,24.719,51.168
la_esperanza,2023-01-06,5.4,16.375,25.752,50.597
rio_claro,2023-01-06,5.2,18.337,26.406,46.761
la_esperanza,2023-01-07,5.9,21.025,27.722,43.648
rio_claro,2023-01-07,0,18.763,26.866,46.909
la_esperanza,2023-01-08,6.1,21.975,28.49,43.462
rio_claro,2023-01-08,0,23.55,28.27,38.62
la_esperanza,2023-01-09,5.5,15.775,25.22,51.142
rio_claro,2023-01-09,5.7,16.85,25.462,48.255
la_esperanza,2023-01-10,4.1,12.95,24.085,56.702
rio_claro,2023-01-10,3.7,10.2,21.938,61.158
la_esperanza,2023-01-11,5.5,26.275,29.183,35.097
rio_claro,2023-01-11,5.3,22.325,27.015,37.688
la_esperanza,2023-01-12,5.6,23.75,26.102,30.285
rio_claro,2023-01-12,5.3,20.225,24.291,33.566
la_esperanza,2023-01-13,5.8,26.425,27.84,29.718
rio_claro,2023-01-13,0,25.438,26.312,25.741
la_esperanza,2023-01-14,5.6,12.825,22.087,51.89
rio_claro,2023-01-14,5.7,19.238,24.486,37.359
la_esperanza,2023-01-15,5.6,20.525,26.725,41.758
rio_claro,2023-01-15,0,22.462,26.641,35.596
la_esperanza,2023-01-16,5.5,17.975,25.015,43.332
rio_claro,2023-01-16,5.8,24.3,26.724,30.633
la_esperanza,2023-01-17,5.2,12.75,21.722,51.202
rio_claro,2023-01-17,0,14.362,22.888,48.464
la_esperanza,2023-01-18,5.6,21.55,27.205,40.282
rio_claro,2023-01-18,5.9,27.15,28.406,29.886
la_esperanza,2023-01-19,3.5,6.225,18.082,70.1
rio_claro,2023-01-19,5.2,11.75,22.325,56.295
la_esperanza,2023-01-20,5.1,14.625,23.9,50.5
rio_claro,2023-01-20,0,12.525,22.202,53.237
la_esperanza,2023-01-21,5.7,23.525,27.685,36.737
rio_claro,2023-01-21,5.6,22.675,26.119,33.14
la_esperanza,2023-01-22,5.9,29.775,29.61,28.6
rio_claro,2023-01-22,5.8,24.938,27.36,31.629
la_esperanza,2023-01-23,5.7,21.325,27.908,43.47
rio_claro,2023-01-23,5.8,30.3,29.182,25.278
la_esperanza,2023-01-24,5.7,24.175,28.102,36.422
rio_claro,2023-01-24,5.8,21.413,26.376,37.627
la_esperanza,2023-01-25,5.8,21.575,27.905,42.64
rio_claro,2023-01-25,5.5,19.038,25.966,43.286
la_esperanza,2023-01-26,5.6,19.4,25.038,39.112
rio_claro,2023-01-26,5.5,20.95,25.237,34.69
la_esperanza,2023-01-27,5.5,27.6,28.358,28.637
rio_claro,2023-01-27,5.4,21.75,25.552,33.889
la_esperanza,2023-01-28,5.6,31.15,29.792,25.865
rio_claro,2023-01-28,0,29.8,28.582,23.879
la_esperanza,2023-01-29,5.6,25.85,28.452,33.49
rio_claro,2023-01-29,0,29.4,29.086,27.003
la_esperanza,2023-01-30,5.5,15.975,25.155,50.675
rio_claro,2023-01-30,0,20.337,26.949,42.64
la_esperanza,2023-01-31,5.4,15.45,25.915,53.805
rio_claro,2023-01-31,5.6,23.137,27.675,37.701
la_esperanza,2023-02-01,5.5,19.125,26.205,44.032
rio_claro,2023-02-01,0,22.675,27.262,37.36
la_esperanza,2023-02-02,5.6,32.225,30.663,27.093
rio_claro,2023-02-02,5.4,24.875,27.78,33.335
la_esperanza,2023-02-03,5.1,17.175,25.598,47.642
rio_claro,2023-02-03,0,27.6,29.25,31.972
la_esperanza,2023-02-04,5,17.325,26.472,50.182
rio_claro,2023-02-04,5.3,23.062,27.909,38.513
la_esperanza,2023-02-05,4.6,16.175,26.302,52.692
rio_claro,2023-02-05,4.5,16.275,25.849,51.013
la_esperanza,2023-02-06,4.7,17.975,26.898,49.48
rio_claro,2023-02-06,4.4,17.525,26.362,49.073
la_esperanza,2023-02-07,4.1,9.1,22.258,65.947
rio_claro,2023-02-07,4.4,22.25,27.645,39.778
la_esperanza,2023-02-08,4.5,10.525,23.65,64.333
rio_claro,2023-02-08,0,23.275,27.575,36.856
la_esperanza,2023-02-09,4.6,31.15,31.052,31.597
rio_claro,2023-02-09,0,31.125,29.502,24.406
la_esperanza,2023-02-10,4.8,32.5,31.188,28.685
rio_claro,2023-02-10,5.2,24.738,27.621,32.995
